datetime,trade_code,open,high,low,close,volume,amount,chg,pctchg
2000/1/4,000001.SH,1368.693,1407.518,1361.214,1406.371,903402300,5183897919,39.791,2.911721
2000/1/5,000001.SH,1407.829,1433.78,1398.323,1409.682,1057998400,8137326105,3.311,0.235429
2000/1/6,000001.SH,1406.036,1463.955,1400.253,1463.942,1348051500,9520842349,54.26,3.849095
2000/1/7,000001.SH,1477.154,1522.825,1477.154,1516.604,3451569900,19487194485,52.662,3.597274
2000/1/10,000001.SH,1531.712,1546.723,1506.404,1545.112,3125353900,18779112481,28.508,1.879726
2000/1/11,000001.SH,1547.678,1547.708,1468.757,1479.781,2192455400,15771749150,-65.331,-4.228237
2000/1/12,000001.SH,1473.761,1489.28,1434.996,1438.02,1522286900,12656691091,-41.761,-2.822107
2000/1/13,000001.SH,1437.453,1444.066,1418.814,1424.442,861291200,7468732839,-13.578,-0.944215
2000/1/14,000001.SH,1426.224,1433.474,1401.706,1408.848,744701200,6256399467,-15.594,-1.094744
2000/1/17,000001.SH,1408.988,1433.383,1402.663,1433.33,764983100,6290278052,24.482,1.737732
2000/1/18,000001.SH,1436.888,1443.592,1421.642,1426.623,776712800,7072430996,-6.707,-0.467931
2000/1/19,000001.SH,1425.874,1443.672,1425.143,1440.724,800659600,6493590019,14.101,0.988418
2000/1/20,000001.SH,1443.094,1466.901,1443.094,1466.863,1007080200,8875430174,26.139,1.814296
2000/1/21,000001.SH,1471.905,1476.456,1458.925,1465.085,1505097300,13743475501,-1.778,-0.121211
2000/1/24,000001.SH,1465.858,1477.412,1449.472,1477.344,1624151500,14606044275,12.259,0.836743
2000/1/25,000001.SH,1483.033,1490.464,1467.438,1476.506,1363598700,12996698663,-0.838,-0.056723
2000/1/26,000001.SH,1477.295,1482.464,1469.98,1481.117,1038443700,9577442403,4.611,0.312291
2000/1/27,000001.SH,1490.447,1506.922,1485.234,1506.767,1898178600,15992564469,25.65,1.731801
2000/1/28,000001.SH,1514.558,1536.346,1510.745,1534.997,2938895600,20709479516,28.23,1.873548
2000/2/14,000001.SH,1591.445,1674.132,1587.818,1673.943,4358082000,23157620808,138.946,9.051874
2000/2/15,000001.SH,1709.224,1746.443,1663.005,1670.67,5254347200,34925487573,-3.273,-0.195526
2000/2/16,000001.SH,1674.936,1695.881,1649.699,1693.109,3743555000,34009003014,22.439,1.343114
2000/2/17,000001.SH,1734.268,1770.88,1615.629,1640.649,5143904700,47262171140,-52.46,-3.098442
2000/2/18,000001.SH,1623.961,1668.164,1583.582,1668.091,2679965100,25842490034,27.442,1.672631
2000/2/21,000001.SH,1681.361,1697.01,1652.476,1677.136,3105240800,32615791398,9.045,0.542237
2000/2/22,000001.SH,1681.299,1687.511,1627.467,1632.294,2425177800,26178823206,-44.842,-2.673725
2000/2/23,000001.SH,1618.008,1630.546,1586.634,1594.93,1918606000,18577262975,-37.364,-2.289048
2000/2/24,000001.SH,1593.948,1634.323,1593.929,1634.309,1393287800,14762155773,39.379,2.469011
2000/2/25,000001.SH,1639.919,1650.365,1618.177,1631.576,1705805500,18504670829,-2.733,-0.167227
2000/2/28,000001.SH,1639.799,1704.884,1639.696,1704.855,2612794300,24422228681,73.279,4.491302
2000/2/29,000001.SH,1728.136,1733.141,1678.35,1714.578,2868075700,32196007876,9.723,0.570312
2000/3/1,000001.SH,1720.597,1721.14,1692.509,1697.744,2248835500,23873891116,-16.834,-0.981816
2000/3/2,000001.SH,1697.562,1721.598,1682.535,1713.014,1959349600,20352633528,15.27,0.899429
2000/3/3,000001.SH,1728.355,1750.645,1721.705,1738.021,2481549000,25767592248,25.007,1.459825
2000/3/6,000001.SH,1756.313,1762.829,1678.744,1681.085,2650721500,26614912081,-56.936,-3.27591
2000/3/7,000001.SH,1661.948,1694.887,1654.444,1694.798,1768561500,16439373751,13.713,0.815723
2000/3/8,000001.SH,1699.462,1726.043,1690.117,1726.033,1974594100,17218283311,31.235,1.842992
2000/3/9,000001.SH,1734.767,1741.224,1714.921,1732.346,1787737800,18604743122,6.313,0.365752
2000/3/10,000001.SH,1731.94,1743.139,1701.793,1705.049,1587236200,16393991370,-27.297,-1.575724
2000/3/13,000001.SH,1706.769,1729.007,1706.349,1728.875,1982917200,12882605992,23.826,1.397379
2000/3/14,000001.SH,1690.653,1700.373,1636.893,1685.347,2287043000,18661145444,-43.528,-2.517707
2000/3/15,000001.SH,1680.296,1695.162,1676.544,1681.471,1678215400,15695372102,-3.876,-0.229982
2000/3/16,000001.SH,1671.097,1671.178,1596.072,1607.527,1979175900,13637411551,-73.944,-4.397578
2000/3/17,000001.SH,1602.363,1661.976,1602.335,1658.601,1533750900,13891457570,51.074,3.177178
2000/3/20,000001.SH,1646.31,1699.281,1641.765,1699.248,1817543400,17219843223,40.647,2.45068
2000/3/21,000001.SH,1704.085,1713.205,1692.684,1710.324,1635110000,17635837072,11.076,0.651818
